Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Jan,Börjesson,Kyrkgatan 542,Borås,38974,Sverige,SE,19980819-7161,+46,08-823 778 26,1998-08-19,True
Erland,Larsson,Kyrkgränd 070,Motala,79437,Sverige,SE,19860423-7086,+46,08-430 497 99,1986-04-23,True
Lise,Hagen,Hellandvika 03,Ødegård,6579,Norge,NO,19540824-9370,+47,94169920,1954-08-24,True
Anja,Pohjola,Willebrandintie 05,Karvia,17752,Finland,FI,19990212-8180,+358,+358978056844,1999-02-12,True
Arne,Lunde,Fredriksenbakken 44,Evensen,4707,Norge,NO,19850518-3630,+47,949 73 105,1985-05-18,True
Christian,Andersson,Grangränd 70,Nyköping,41097,Sverige,SE,19520212-1660,+46,08-479 545 93,1952-02-12,True
Birgitta,Lundberg,Björktorget 2,Borlänge,78033,Sverige,SE,19740323-5511,+46,+46 (0)72 19 49 93,1974-03-23,True
Sofia,Andersson,Idrottsgatan 2,Helsingborg,39719,Sverige,SE,19430107-9138,+46,08-470 947 38,1943-01-07,True
Annikki,Korhonen,Ahdekaunokinbulevardi 8,Lapua,11623,Finland,FI,19830525-7746,+358,+358 542400136,1983-05-25,True
Jennie,Eriksson,Ängsvägen 666,Örebro,68706,Sverige,SE,19910222-8660,+46,0266-96 58 12,1991-02-22,True
Lindsey,Roberts,Matthew Motorway 98306,North Kevin,07525,Danmark,DK,19610808-0844,+45,(920)383-9466x148,1961-08-08,True
Heidi,Reed,Williams Green 460,Christopherton,08341,Danmark,DK,19400820-9376,+45,895-769-6164,1940-08-20,True
Stian,Arnesen,Knudsenalléen 6H,Sandvik,0503,Norge,NO,19950105-8150,+47,+4788989184,1995-01-05,True
Bernt,Andersson,Idrottsstigen 582,Uppsala,55695,Sverige,SE,19481222-3589,+46,088-73 75 27,1948-12-22,True
Katarina,Jakobsson,Fabriksgatan 717,Umeå,39644,Sverige,SE,19730822-7475,+46,08-405 016 01,1973-08-22,True
Andrew,Burch,Johnny Junctions 87902,New Vickiburgh,64797,Danmark,DK,19921228-0758,+45,8098407953,1992-12-28,True
Margareta,Lind,Fabriksvägen 247,Ängelholm,50713,Sverige,SE,19760109-5155,46,0754-243 58,1976-01-09,True
Kjell,Gustafsson,Skogsvägen 81,Skövde,85688,Sverige,SE,19921119-8843,+46,08-964 592 86,1992-11-19,True
Bjørg,Eide,Brekkerøa 1F,Berg,0449,Norge,NO,19851002-8650,+47,93 01 37 28,1985-10-02,True
Tony,Sandberg,Bäckgränd 5,Jönköping,81858,Sverige,SE,19520113-3444,+46,058-644 59 80,1952-01-13,True
Tommy,Berge,Holmbakken 3,Jannes,6269,Norge,NO,19680115-6941,+47,44955748,1968-01-15,True
Kristina,Gustafsson,Skolvägen 60,Kalmar,26951,Sverige,SE,19960307-4666,+46,08-184 52 59,1996-03-07,True
Magnus,Fredriksson,Aspgatan 33,Halmstad,78952,Sverige,SE,19810720-1395,+46,087-83 98 81,1981-07-20,True
George,Wilkerson,Andrew Fields 63222,New Lindaville,94612,Danmark,DK,19930616-1622,+45,+1-727-370-3181x6493,1993-06-16,True
Thomas,Pettersson,Skolstigen 0,Falun,56716,Sverige,SE,19490126-6665,+46,+46 (0)8 362 593 93,1949-01-26,True
Anette,Larsson,Genvägen 0,Lidingö,53944,Sverige,SE,19690226-2633,+46,0897-649 78,1969-02-26,True
Gunnar,Persson,Parkgränd 1,Västerås,73109,Sverige,SE,19460409-9162,+46,0252-45 24 60,1946-04-09,True
Katherine,Bell,Tiffany Crossing 48722,South Jason,94991,Danmark,DK,19560826-1599,+45,881-509-8739,1956-08-26,True
