Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Kara,Hunter,Mcdonald Wells 3695,Port Michael,35429,Danmark,DK,19781213-4597,+45,661.211.4152x9963,1978-12-13,True
Liisa,Kuusisto,Jäkäläbulevardi 3,Ruovesi,32293,Finland,FI,19601001-354X,+358,023 460 2091,1960-10-01,True
Viktoria,Lindqvist,Ekgatan 6,Skellefteå,77228,Sverige,SE,19550204-2397,+46,0673-151 00,1955-02-04,True
Maria,Hansen,Skogsvägen 218,Stockholm,46303,Sverige,SE,19450612-6578,+46,022-45 47 65,1945-06-12,True
Patrik,Karlsson,Kyrkogränd 508,Gävle,69609,Sverige,SE,19711115-7955,+46,+46 (0)8 352 276 68,1971-11-15,True
Nils,Solheim,Madsentunet 236,Nielsen,0633,Norge,NO,19410627-0479,+47,06 80 21 10,1941-06-27,True
Bernt,Dahlgren,Åkervägen 9,Skövde,83978,Sverige,SE,19400325-7630,+46,+46 (0)14 10 61 31,1940-03-25,True
Peter,Andersson,Industristigen 520,Halmstad,33196,Sverige,SE,19700403-9761,+46,0147-691 57,1970-04-03,True
Sofia,Axelsson,Industrivägen 5,Trollhättan,69451,Sverige,SE,19810527-3934,+46,035-93 18 06,1981-05-27,True
Reijo,Paavilainen,Versobulevardi 834,Vaala,63858,Finland,FI,19680120-1421,+358,(+358) 140237736,1968-01-20,True
Emma,Eliassen,Moenhavna 8E,Sandersund,1025,Norge,NO,19890412-4287,+47,99507393,1989-04-12,True
Ingrid,Svensson,Kvarnvägen 3,Örnsköldsvik,60268,Sverige,SE,19930506-9479,+46,0329-959 58,1993-05-06,True
Kari,Rönkkö,Immolantie 37,Alavus,10476,Finland,FI,19631004-3993,+358,(+358) 357946898,1963-10-04,True
Emilie,Birkeland,Sørensenåsen 9,Dahl,5617,Norge,NO,19650409-8693,+47,+47 08 70 61 07,1965-04-09,True
Sandra,Jonsson,Industrivägen 992,Borlänge,13680,Sverige,SE,19460221-8605,+46,0041-796 77,1946-02-21,True
Frank,Sandvik,Jensenskrenten 4,Rasmussen,3554,Norge,NO,19951005-8253,+47,30 10 52 42,1995-10-05,True
Leif,Mikkelsen,Viktjernet 95,Jørgensjøen,3039,Norge,NO,19800902-3476,+47,40883950,1980-09-02,True
Maria,Guzman,Nicholas Groves 2748,Michaelburgh,65675,Danmark,DK,19760526-1521,+45,+1-476-676-5614x58018,1976-05-26,True
